SDP Name,Revenue,Qty,Products,City
CEO DHA PAKPATTAN,589208.0,12400.0,3,Ceo Dha Pakpattan
CEO DHA RAWALPINDI,577306.6000000001,31800.0,3,Ceo Dha Rawalpindi
ENERGIA PHARMA SERVICES NV,574900.5,159357.0,17,Energia Pharma Services Nv
ASSENE-LABOREX LTD,557950.23,618271.0,10,Assene-Laborex Ltd
MARTIN DOW MARKER LTD.,554844.6900000001,135.0,2,Martin Dow Marker Ltd.
CEO DHA CHAKWAL,548424.97,11333.0,3,Ceo Dha Chakwal
PHARMA CURE INTERNATIONAL,542292.06,1327.0,27,Pharma Cure International
PHARMATEC PAKISTAN (PVT) LTD.,541480.0,320.0,2,Pharmatec Pakistan (Pvt) Ltd.
REHMAN BROTHERS,539050.05,1631.0,14,Rehman Brothers
HARLEY'S LIMITED,515705.26,416194.0,11,Harley'S Limited
HIMONT PHARMACEUTICALS (PVT) LTD,510740.0,315.0,2,Himont Pharmaceuticals (Pvt) Ltd
INDUS PHARMA (PVT) LTD,507457.0,250.0,2,Indus Pharma (Pvt) Ltd
ACCESS POINT INT'L TRADING INC.,485075.62,362391.0,16,Access Point Int'L Trading Inc.
DIRECTOR AYUB TEACHING HOSPITAL,471579.02,4292.0,17,Director Ayub Teaching Hospital
CEO DHA LAYYAH,463243.03,17463.0,3,Ceo Dha Layyah
AL MUSTAFA ENTERPRISES,462300.0,60.0,1,Al Mustafa Enterprises
MS PUNJAB INST. OF NEUROSCIENCES-LH,424835.82,1786.0,1,Ms Punjab Inst. Of Neurosciences-Lh
SIRAJUDDIN & SONS - QUETTA,404250.0,11.0,1,Sirajuddin & Sons - Quetta
CEO DHA NANKANA SAHIB,402209.49,17234.0,3,Ceo Dha Nankana Sahib
FAUJI FOUNDATION HOSP. PESHAWAR,377632.0,4242.0,9,Fauji Foundation Hosp. Peshawar
STATE PHARMACEUTICALS CORPORATION,365756.24,472854.0,5,State Pharmaceuticals Corporation
NEW MAJEED MEDICINE CO.,361352.93,2195.0,8,New Majeed Medicine Co.
