Yr,Mo,ProductName,Revenue,Units,Discount,FiscalYear
2022,10,LIMITROL,1147.5,9.0,0.0,FY22-23
2022,10,Lowplat,48213492.22410059,292495.0,352377.5759,FY22-23
2022,10,Lowplat Plus,63289518.46560018,358019.0,374467.0544,FY22-23
2022,10,MFIT,32954.04,27.0,0.0,FY22-23
2022,10,NEBULIZERS,374545.1464,64.0,82446.1136,FY22-23
2022,10,Neo Q 10,2239185.5320000006,2582.0,15969.748,FY22-23
2022,10,Nise,33615861.989700004,264368.0,91058.0103,FY22-23
2022,10,Omron BPM,13076724.575800002,2053.0,2070643.3842,FY22-23
2022,10,Omron BPM Wrist,92268.87259999999,16.0,10896.8874,FY22-23
2022,10,Omron ETB,269325.6529,287.0,39847.967099999994,FY22-23
2022,10,Omron Weigh Scale,221682.7859,56.0,31513.9341,FY22-23
2022,10,Onita,7502493.4449000005,9782.0,63883.5551,FY22-23
2022,10,Opt-D,14748620.005700028,90700.0,188995.3943,FY22-23
2022,10,Orslim,29129440.5,19195.0,238909.5,FY22-23
2022,10,Oxivort,1123743.775,3421.0,10564.225,FY22-23
2022,10,Paridopa,4253443.01,4306.0,23148.39,FY22-23
2022,10,Phytus,3030708.6775,10664.0,141831.3225,FY22-23
2022,10,REKLAIM,702904.8475999999,1408.0,2897.3924,FY22-23
2022,10,Ramipace,25131993.336899977,61711.0,135066.8331,FY22-23
2022,10,Redexa,3801251.1260000016,7902.0,18705.824,FY22-23
